;0
L4-4L RED;165.6957548843002
L4-4R RED;2382.7636684999657
R1-2R RED;781.530355418564
R1-2L RED;781.530355418564
R1-4R RED;781.530355418564
R1-4L RED;781.530355418564
R2-2R RED;781.530355418564
R2-2L RED;781.530355418564
R2-4R RED;781.530355418564
R2-4L RED;781.530355418564
R3-2/4R RED;4602.692775236336
R3-2/4L RED;4602.692775236336
R4-2R RED;2533.857961454117
R4-2L RED;1443.4882344113857
L1-2L FAR RED;4556.453050851542
L1-2R FAR RED;4556.453050851542
L1-4L FAR RED;455.6453050850015
TEMP 1 TANK 1;66.17371648195808
TEMP 2 TANK 1;65.7566663941592
