SampleNumber;Date;Time;TCS COOL 1:EXT HS IN;TCS COOL 2:INT HSOUT;TCS COOL 3:I&L HS IN;TCS COOL 4:AMS HS IN;TCS COOL 5:AMS OUT;TCS COOL 6:AMS IN;TCS COOL 7:ISPR OUT;TCS COOL 8:ISPR IN;TCS COOL 9:LED OUT;TCS COOL 10:LED IN;TCS TEMP OUT EXIT; TCS PRESSURE 1:FREE;TCS PRESSURE 2:ISPR;TCS PRESSURE 3:LED;TCS PRESSURE 4:AMS;TCS COOL 11:FREE IN;TCS COOL 12:FREE OUT;TCS TEMP RADIATOR;TCS TEMP OUT WINDOW; TCS-COOL VALVE 1:FREE Current Timed Position; TCS-COOL VALVE 2:ISPR Current Timed Position; TCS-COOL VALVE 3:LED Current Timed Position; TCS-COOL VALVE 4:AMS Current Timed Position;TCS-COOLING PUMP RELAY;TCS-FREE COOLER
2299;18.06.2018;12:18:17;  -7.71;  -2.39;   2.58;  -6.27;   6.42;   1.47;  17.32;  16.40;  24.62;  22.04; -13.31;    1.2;    0.9;    0.9;    1.1;  -2.39;  -6.06; -11.12; -12.12;  67.50;  68.35;  51.50;  14.20;100;0
2300;18.06.2018;12:23:17;  -6.45;  -1.48;   2.32;   0.17;   9.67;   9.13;  17.32;  16.97;  24.68;  21.62; -13.26;    1.2;    0.9;    0.9;    1.1;  -0.68;  -5.09; -11.01; -12.10;  23.50;  55.60;  51.25; 100.00;100;0
2301;18.06.2018;12:58:17;  -6.10;  -2.10;   3.02;  -1.99;   5.43;   1.09;  17.47;  17.13;  24.85;  21.40; -13.21;    1.2;    0.9;    0.9;    1.0;  -0.67;  -4.78;  -9.34; -11.96;  54.00;  49.00;  62.90;  22.15;100;0
2303;18.06.2018;13:38:17;  -6.65;  -2.08;   2.13;  -4.41;  10.64;   6.78;  17.42;  16.85;  24.85;  21.76; -13.11;    1.2;    0.9;    0.9;    1.1;  -3.18;  -5.06; -10.13; -11.82;  52.00;  52.40;  63.75;   0.00;100;0
2305;18.06.2018;14:03:17;  -7.24;  -2.41;   2.79;  -2.78;   5.97;   3.82;  17.32;  16.77;  24.60;  21.82; -13.19;    1.2;    0.9;    0.9;    1.1;  -1.41;  -5.60; -10.45; -11.82;  71.00;  65.50;  51.00;  78.05;100;0
2308;18.06.2018;14:53:17;  -6.21;  -1.95;   2.19;  -1.78;  10.07;   8.23;  17.60;  17.09;  25.38;  22.87; -12.89;    1.2;    0.9;    0.9;    1.1;  -1.89;  -4.81; -10.08; -11.65;  46.50;  40.50;  55.25;  21.60;100;0
2309;18.06.2018;15:18:17;  -6.95;  -2.22;   2.69;  -1.86;   5.99;   2.97;  17.41;  17.41;  25.71;  22.35; -12.69;    1.2;    0.9;    0.9;    1.1;  -1.67;  -5.33; -10.24; -11.51;  63.00;  35.00;  55.25;  30.60;100;0
2310;18.06.2018;15:38:17;  -5.75;  -2.10;   1.89;  -1.67;  10.77;   6.94;  17.58;  17.40;  25.68;  22.54; -12.53;    1.2;    0.9;    0.9;    1.1;  -3.28;  -4.30;  -9.38; -11.39;  57.00;  29.00;  55.00;  35.30;100;0
2317;18.06.2018;16:58:17;  -5.50;  -1.79;   2.95;  -0.36;   5.07;   2.15;  17.17;  16.69;  25.70;  22.53; -12.04;    1.2;    0.8;    0.9;    1.1;  -0.97;  -4.10;  -8.58; -10.91;  41.00;  74.50;  53.00;   0.00;100;0
2320;18.06.2018;17:33:17;  -4.89;  -1.90;   2.88;  -1.57;   5.28;   1.96;  17.34;  16.55;  25.59;  23.06; -11.84;    1.2;    0.9;    0.9;    1.1;  -1.56;  -3.69;  -7.88; -10.73;  46.00;  67.00;  52.75;   0.00;100;0
2321;18.06.2018;17:38:17;  -5.41;  -1.40;   2.42;   0.27;   9.62;   6.93;  17.38;  17.04;  25.67;  22.61; -11.82;    1.2;    0.8;    0.9;    1.1;  -2.39;  -3.97;  -9.15; -10.71;  21.50;  55.00;  52.75;   0.00;100;0
2322;18.06.2018;17:53:17;  -5.58;  -2.14;   2.62;  -2.45;   6.55;   3.31;  17.17;  16.37;  25.63;  22.83; -11.79;    1.2;    0.8;    0.9;    1.1;  -1.01;  -4.10;  -8.94; -10.65;  56.00;  88.50;  52.25;  29.80;100;0
2324;18.06.2018;18:08:17;  -5.83;  -1.69;   2.89;  -0.61;   6.83;   2.67;  17.29;  16.82;  25.64;  22.91; -11.80;    1.2;    0.8;    0.9;    1.1;  -0.36;  -4.34;  -9.23; -10.61;  33.50;  66.00;  52.50;   0.00;100;0
2326;18.06.2018;19:13:17;  -4.53;  -1.78;   3.00;  -0.21;   5.32;   2.58;  17.31;  17.13;  25.88;  22.34; -11.80;    1.2;    0.8;    0.9;    1.1;  -0.25;  -3.31;  -7.88; -10.64;  39.50;  52.00;  64.25;  54.15;100;0
2327;18.06.2018;19:28:17;  -4.69;  -1.78;   2.31;  -1.33;   8.79;   8.20;  17.36;  17.29;  25.98;  22.27; -11.89;    1.2;    0.8;    0.9;    1.1;  -1.03;  -3.42;  -8.05; -10.65;  38.50;  42.50;  64.00; 100.00;100;0
2328;18.06.2018;19:33:17;  -5.66;  -2.18;   2.80;  -4.37;   5.73;   1.31;  17.31;  16.74;  25.77;  22.90; -11.89;    1.2;    0.8;    0.9;    1.1;  -1.66;  -4.20;  -8.45; -10.65;  58.50;  50.50;  64.50;   0.00;100;0
2329;19.06.2018;13:33:17; -12.03;  -6.64;  -5.50; -12.20;   9.87;   3.70;  18.31;  18.50;  22.66;  21.80; -15.12;    1.2;    0.8;    0.8;    1.1; -11.25;  -9.57; -15.60; -11.76; 100.00;   0.00;  75.50;   0.00;100;100
2330;19.06.2018;15:23:17; -14.61; -10.36;  -7.99; -14.80;  11.00;   4.27;  20.42;  20.57;  21.96;  21.17; -18.26;    1.1;    0.8;    0.8;    1.1; -13.86; -11.95; -18.19; -14.08; 100.00;   0.00; 100.00;   0.00;100;100
2331;19.06.2018;16:13:17; -16.18; -11.51;  -9.32; -16.38;  12.69;   5.77;  23.27;  27.26;  29.39;  25.78; -20.30;    1.0;    0.8;    0.8;    1.1; -15.60; -13.36; -19.77; -15.40; 100.00;   0.00;   0.00;   0.00;100;100
2332;19.06.2018;16:18:17; -16.33; -11.71;  -9.49; -16.53;  12.75;   5.79;  23.80;  28.34;  30.60;  26.65; -20.35;    1.0;    0.8;    0.8;    1.1; -15.76; -13.52; -19.90; -15.51; 100.00;   0.00;   0.00;   0.00;100;100
2333;19.06.2018;16:38:17; -17.00; -12.40; -10.70; -17.17;  14.77;   8.53;  25.33;  29.51;  30.81;  27.94; -20.46;    1.0;    1.0;    1.1;    1.1; -16.68; -14.16; -20.55; -16.00; 100.00;   0.00;   0.00;   0.00;100;100
2337;19.06.2018;18:53:17;   5.20;  18.88;  20.73;  22.23;  22.07;  22.18;  21.60;  21.84;  22.73;  21.98; -18.58;    1.2;    1.2;    1.2;    1.1;   1.65;   0.28; -19.38; -15.92;   0.00;   0.00;  75.75;   0.00;100;0
2338;21.06.2018;16:53:17; -15.94;  -1.80;   1.52;  -0.10;   7.18;   4.17;  16.79;  16.97;  25.12;  22.89; -22.57;    1.1;    1.1;    1.1;    1.0;  -2.08; -13.25; -19.59; -21.79;  41.00;  62.50;  57.20;   0.00;100;0
2339;21.06.2018;17:13:17; -12.86;  -2.30;   0.72;  -3.36;   9.14;   6.43;  17.17;  16.11;  25.19;  22.94; -22.40;    1.1;    1.1;    1.1;    1.0;  -3.28; -10.79; -15.90; -21.62;  65.00;  86.50;  53.25;   0.00;100;0
2341;21.06.2018;17:23:17; -10.93;  -1.75;   1.34;  -0.57;   9.39;   8.08;  17.14;  16.26;  25.13;  22.91; -22.44;    1.1;    1.1;    1.1;    1.0;  -2.81;  -9.02; -14.81; -21.58;  37.50;  89.50;  53.25;  95.15;100;0
2343;21.06.2018;18:23:17;  -8.94;  -2.11;   1.07;  -3.88;   8.45;   7.86;  17.26;  17.11;  25.39;  22.58; -23.16;    1.1;    1.1;    1.1;    1.0;  -2.12;  -7.07; -12.02; -21.80;  55.50;  44.00;  65.75;  42.65;100;0
2347;21.06.2018;19:53:17;  -8.73;  -2.01;   1.83;  -4.05;   7.56;   3.00;  17.18;  17.21;  25.55;  22.42; -23.96;    1.1;    1.1;    1.1;    1.0;  -0.48;  -6.29; -13.23; -22.58;  50.00;  42.00;  65.75;  39.10;100;0
2348;24.06.2018;12:53:17; -14.23;  -3.68;  -0.11;  -4.14;   8.04;   3.43;  17.51;  17.18;  25.25;  22.86; -24.54;    1.1;    1.1;    1.1;    1.1;  -5.11; -11.90; -17.52; -23.47; 100.00;  49.30;  53.50;   0.00;100;0
2349;24.06.2018;21:38:17; -11.07;  -2.46;   0.94;  -6.61;  11.99;  10.81;  17.31;  17.08;  25.25;  22.55; -23.83;    1.1;    1.1;    1.1;    1.1;  -5.21;  -8.56; -14.87; -22.53;  71.50;  37.00;  66.25;  11.75;100;0
2351;24.06.2018;22:18:17; -14.97;  -3.88;   0.12;  -2.39;   8.72;   4.01;  17.50;  17.11;  25.37;  22.67; -23.63;    1.1;    1.1;    1.1;    1.1;  -4.67; -12.40; -18.86; -22.61; 100.00;  48.50;  53.75;   0.00;100;0
2352;24.06.2018;22:23:17; -14.44;  -4.22;   0.51;  -4.82;   7.83;   3.21;  17.29;  16.14;  25.01;  22.66; -23.64;    1.1;    1.1;    1.1;    1.1;  -4.73; -12.09; -17.79; -22.58; 100.00;  44.20;  66.25;   0.00;100;0
2353;26.06.2018;10:53:17;  -4.78;  -1.95;   2.49;  -3.04;   3.75;   0.71;  17.43;  16.72;  25.21;  22.84; -12.52;    1.2;    1.1;    1.1;    1.1;  -1.59;  -3.35;  -7.79; -11.33;  47.50;  50.50;  65.00;   0.00;100;0
2355;26.06.2018;12:03:17;  -3.01;  -1.46;   2.26;  -2.73;  10.90;   8.33;  17.39;  15.69;  25.07;  22.99; -12.26;    1.2;    1.1;    1.1;    1.1;  -1.24;  -1.64;  -5.97; -11.30;  23.00; 100.00;  52.75;  70.70;100;0
2356;26.06.2018;12:13:17;  -3.18;  -1.66;   2.52;  -0.34;   7.86;   6.56;  17.34;  17.00;  25.35;  22.56; -12.11;    1.2;    1.1;    1.1;    1.1;  -0.22;  -1.95;  -6.28; -11.26;  33.50;  55.95;  52.75;  78.40;100;0
2358;26.06.2018;12:33:17;  -2.33;  -1.29;   2.37;  -1.74;  10.21;   8.14;  17.39;  15.68;  25.06;  22.90; -12.03;    1.2;    1.1;    1.1;    1.1;  -1.46;  -1.17;  -5.54; -11.19;  14.50;  95.50;  62.40;   4.75;100;0
2359;27.06.2018;12:18:17;  -5.39;  -1.86;   2.13;  -2.49;   9.62;   8.49;  17.35;  17.34;  25.48;  22.48; -11.49;    1.2;    1.0;    1.1;    1.1;  -0.39;  -3.84;  -8.78; -10.98;  42.50;  37.50;  65.50;  95.45;100;0
2363;27.06.2018;22:28:17;  -4.85;  -1.92;   2.03;  -3.47;   9.99;   6.61;  17.43;  17.32;  25.47;  22.56; -11.56;    1.2;    1.0;    1.0;    1.1;  -2.30;  -3.31;  -8.15; -11.21;  45.50;  35.50;  65.25;   0.00;100;0
2365;27.06.2018;22:58:17;  -2.80;  -1.53;   2.56;  -1.60;   8.93;   7.42;  17.37;  17.32;  25.58;  22.38; -11.40;    1.2;    1.0;    1.0;    1.1;  -0.19;  -1.63;  -5.54; -11.06;  26.50;  39.00;  65.25;  90.45;100;0
2371;28.06.2018; 1:13:17;  -7.16;  -2.06;   2.83;  -5.72;   7.34;   2.68;  17.52;  16.46;  23.31;  22.49; -12.74;    1.2;    1.0;    1.0;    1.1;  -1.75;  -5.40; -10.79; -10.87;  51.00;  66.00;  66.25;  34.75;100;0
2372;29.06.2018; 9:53:17; -23.37; -16.92; -17.35; -23.74;  25.34;  25.81;  27.86;  25.06;  34.37;  32.12; -26.84;    0.6;    1.0;    1.0;    1.1; -23.92; -19.68; -27.15; -23.65; 100.00;   0.00;   0.00;   0.00;100;0
2376; 1/07/2018; 1:38:17;  11.41;  24.52;  24.58;  25.77;  25.50;  25.69;  23.67;  23.94;  24.36;  22.84; -30.18;    1.2;    0.0;    0.0;    1.3;  -3.51;   7.85; -21.74; -25.02; 100.00;   0.00;   0.00;   0.00;100;0
2378; 1/07/2018; 4:38:17;  10.13;  23.90;  23.95;  25.13;  24.88;  25.05;  22.49;  22.72;  23.16;  21.95; -32.78;    1.2;    0.0;    0.0;    1.3;  -6.62;   6.28; -24.78; -28.37; 100.00;   0.00;   0.00;   0.00;100;0
2379; 3/07/2018;14:28:17; -11.16;  -2.43;   1.86;  -0.12;   5.09;   3.53;  16.79;  16.53;  25.80;  22.94; -33.57;    1.2;    1.3;    1.3;    1.2;  -4.25;  -9.29; -13.77; -29.82;  72.50;  74.50;  51.50;  29.20;100;0
2381; 3/07/2018;14:38:17; -14.23;  -2.89;   0.89;  -3.05;  10.42;  10.02;  17.16;  17.26;  25.56;  22.94; -33.34;    1.2;    1.3;    1.3;    1.2;  -4.43; -11.58; -17.35; -29.88;  95.00;  48.50;  64.00;  55.65;100;0
2382; 3/07/2018;15:03:17; -11.62;  -2.49;   1.17;  -2.21;  10.57;  10.18;  17.20;  16.83;  25.61;  23.03; -33.64;    1.2;    1.3;    1.3;    1.2;  -3.45;  -9.81; -13.68; -29.89;  74.50;  49.50;  51.50;  72.00;100;0
2384; 4/07/2018; 3:18:17; -24.20;  -5.72;  -1.05;  -9.16;   6.92;   6.54;  17.63;  17.41;  20.65;  19.93; -28.87;    1.1;    1.3;    1.3;    1.2;  -6.15; -20.72; -28.41; -27.75; 100.00;  39.50; 100.00;  94.30;100;0
2385; 4/07/2018; 3:23:17; -24.12;  -4.14;  -0.19;  -3.22;   3.93;   1.25;  17.48;  17.04;  20.56;  19.86; -28.70;    1.1;    1.3;    1.3;    1.2;  -6.37; -20.66; -28.68; -27.53; 100.00;  39.50; 100.00;   0.00;100;0
2386; 4/07/2018; 3:28:17; -24.11;  -3.36;   0.80;  -8.51;   6.59;   1.25;  17.48;  16.76;  20.48;  19.79; -28.65;    1.1;    1.3;    1.3;    1.2;  -3.44; -20.63; -28.58; -27.36;  75.55;  52.00; 100.00;  40.15;100;0
2387; 4/07/2018; 5:03:17; -21.61;  -4.74;   0.10;  -8.97;   2.32;   0.07;  17.53;  17.20;  19.81;  19.13; -26.26;    1.1;    1.3;    1.3;    1.2;  -5.13; -18.52; -25.54; -25.21; 100.00;  40.50; 100.00;  85.50;100;0
2388; 4/07/2018; 5:13:17; -20.84;  -1.94;   0.29;   0.44;   6.91;   5.28;  17.53;  16.85;  19.79;  19.09; -26.36;    1.1;    1.3;    1.3;    1.2;  -5.97; -17.93; -25.59; -24.88;  48.50;  53.00; 100.00;  36.80;100;0
2389; 7/07/2018; 9:13:17; -14.93;  -2.28;   0.95;FAILED;  10.45;   7.34;  17.19;  17.24;  25.88;  22.50; -20.39;    1.2;    1.3;    1.3;    1.2;  -5.65; -12.61; -18.75; -20.07;  65.50;  47.50;  62.75;   0.00;100;0
2390;10.07.2018; 9:18:17; -20.46;  -3.66;  -0.15;FAILED;   7.17;   6.35;  17.47;  16.11;  25.65;  23.08; -29.38;    1.1;    1.2;    1.3;    1.2;  -3.04; -17.77; -24.00; -27.14; 100.00;  92.50;  51.00; 100.00;100;0
2391;10.07.2018; 9:23:17; -20.50;  -4.80;  -0.27;FAILED;   3.49;   2.39;  17.40;  17.51;  25.85;  22.81; -29.36;    1.1;    1.2;    1.3;    1.2;  -7.72; -17.69; -23.98; -27.18; 100.00;  33.45;  51.00;  67.80;100;0
2393;10.07.2018;11:03:17; -21.34;  -3.92;  -0.29;FAILED;   8.31;   7.87;  17.29;  17.35;  26.07;  22.35; -29.01;    1.1;    1.2;    1.3;    1.2;  -4.41; -18.51; -25.19; -27.75; 100.00;  36.00;  64.75;  45.85;100;0
2395;10.07.2018;13:38:17; -20.27;  -4.81;   0.04;FAILED;   2.65;   0.62;  17.56;  16.47;  25.76;  22.93; -29.26;    1.1;    1.2;    1.3;    1.2;  -8.41; -17.39; -23.70; -28.33; 100.00;  86.50;  52.00;  78.20;100;0
2396;10.07.2018;13:43:17; -19.59;  -4.03;  -0.20;FAILED;  10.13;   9.75;  17.14;  17.51;  25.86;  22.78; -29.58;    1.1;    1.2;    1.3;    1.2;  -4.79; -16.79; -23.41; -28.31; 100.00;  36.50;  51.75;  61.25;100;0
2398;10.07.2018;14:33:17; -16.05;  -3.31;   0.26;FAILED;  10.57;   9.40;  16.49;  16.81;  26.05;  22.57; -29.95;    1.2;    1.2;    1.3;    1.2;  -6.39; -13.38; -19.80; -28.05;  93.00;  60.50;  51.25;  32.20;100;0
2401;10.07.2018;15:03:17; -17.25;  -3.86;   0.48;FAILED;   3.41;  -0.51;  17.30;  15.50;  25.74;  23.03; -29.71;    1.2;    1.2;    1.3;    1.2;  -5.98; -14.61; -20.84; -27.58; 100.00; 100.00;  51.00;  31.35;100;0
2403;10.07.2018;15:13:17; -16.62;  -2.11;   0.72;FAILED;   7.94;   5.95;  17.41;  17.16;  26.11;  22.48; -29.01;    1.2;    1.2;    1.3;    1.2;  -6.70; -14.30; -19.77; -27.46;  57.00;  52.00;  51.00;   0.00;100;0
2404;11.07.2018;13:08:17; -18.89;  -1.70;   0.46;FAILED;   7.36;   5.31;  17.00;  17.29;  25.77;  22.80; -40.00;    1.1;    1.2;    1.3;    1.2;  -6.68; -16.72; -22.09; -35.59;  36.50;  36.50;  63.75;   0.00;100;0
2405;11.07.2018;18:38:17; -21.09;  -1.65;  -0.20;FAILED;  10.41;   9.56;  17.34;  17.82;  25.84;  22.71; -40.00;    1.2;    1.2;    1.3;    1.2;  -5.54; -18.45; -23.98; -35.40;  33.50;  15.45;  51.75;  35.80;100;0
2406;11.07.2018;18:58:17; -21.01;  -2.29;   0.17;FAILED;   7.39;   4.72;  17.58;  17.05;  25.44;  22.94; -40.00;    1.2;    1.2;    1.3;    1.2;  -4.18; -18.17; -22.41; -35.48;  66.00;  36.50;  64.00;   0.00;100;0
2407;13.07.2018;14:03:17; -13.68;  -2.27;   0.01;FAILED;   8.41;   5.95;  17.68;  18.35;  25.89;  22.52; -19.30;    1.2;    1.2;    1.3;    1.2;   0.35; -11.55; -17.71; -18.74;  66.50;   0.00;  50.50;   0.00;100;0
2410;13.07.2018;14:38:17; -13.46;  -3.09;   1.12;FAILED;   3.77;   1.05;  17.83;  18.27;  25.80;  22.49; -18.98;    1.2;    1.2;    1.3;    1.2;   0.91; -11.33; -16.71; -18.57; 100.00;   0.00;  62.75;  54.10;100;0
2411;13.07.2018;14:43:17; -13.41;  -3.01;   0.61;FAILED;   7.12;   3.48;  17.29;  16.43;  25.62;  22.76; -18.95;    1.2;    1.2;    1.3;    1.2;   0.94; -11.18; -17.15; -18.51; 100.00;  31.35;  62.75;  48.45;100;0
2412;13.07.2018;14:53:17; -12.66;  -3.26;   0.68;FAILED;   4.32;   2.02;  17.68;  16.06;  25.55;  23.03; -18.88;    1.2;    1.2;    1.3;    1.2;   0.86; -10.61; -16.13; -18.39; 100.00; 100.00;  50.25;  16.15;100;0
2413;13.07.2018;14:58:17; -11.77;  -1.58;   0.83;FAILED;   9.72;   8.35;  17.77;  16.46;  25.66;  22.85; -18.94;    1.2;    1.2;    1.3;    1.2;   1.47;  -9.87; -15.81; -18.34;  30.50;  86.50;  50.25;  84.30;100;0
2414;13.07.2018;15:08:17; -11.74;  -2.23;   1.30;FAILED;  10.17;   5.18;  17.94;  17.37;  25.87;  22.53; -18.96;    1.2;    1.2;    1.3;    1.2;   1.17;  -9.68; -15.73; -18.27;  57.75;  36.00;  50.25;   0.00;100;0
2415;13.07.2018;15:28:17; -11.12;  -2.59;   1.21;FAILED;   6.99;   6.46;  17.38;  17.23;  25.61;  22.70; -19.06;    1.2;    1.2;    1.3;    1.2;   2.12;  -9.23; -14.45; -18.16;  80.00;  50.00;  63.00; 100.00;100;0
2417;13.07.2018;15:38:17; -11.93;  -2.31;   0.60;FAILED;  10.29;   9.93;  17.76;  13.24;  25.40;  23.03; -19.21;    1.2;    1.2;    1.3;    1.2;   1.66;  -9.79; -15.74; -18.30;  66.50; 100.00;  50.75; 100.00;100;0
2418;13.07.2018;15:58:17; -12.28;  -1.84;   1.88;FAILED;   7.42;   3.93;  17.49;  17.14;  25.76;  22.72; -19.75;    1.2;    1.2;    1.3;    1.2;   1.62; -10.21; -16.60; -18.73;  37.85;  48.00;  50.75;   0.00;100;0
2419;14.07.2018;14:08:17; -14.00;  -3.65;  -0.61;FAILED;  11.34;  10.79;  17.44;  17.44;  25.68;  22.86; -21.62;    1.2;    1.2;    1.3;    1.2;  -0.06; -11.89; -17.73; -20.82; 100.00;  35.00;  50.75;  21.80;100;0
2421;16.07.2018;14:58:17; -15.10;  -1.28;   1.74;FAILED;   8.46;   6.12;  17.93;  17.41;  25.71;  22.71; -21.15;    1.2;    1.2;    1.3;    1.2;  -0.20; -13.00; -19.54; -19.97;  12.00;  21.00;  62.75;   0.00;100;0
2424;16.07.2018;15:33:17; -14.77;  -3.58;  -0.05;FAILED;   8.32;   6.21;  17.72;  15.99;  25.79;  22.66; -21.16;    1.2;    1.2;    1.3;    1.2;  -0.48; -12.81; -18.22; -20.11; 100.00; 100.00;  50.25;   0.00;100;0
2425;16.07.2018;20:08:17;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00;    1.2;    1.2;    1.3;    1.2;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00;   0.00;0;0
2426;16.07.2018;22:08:17; -12.80;  -1.92;   1.25;FAILED;  10.18;   8.09;  18.09;  17.67;  25.94;  22.52; -20.87;    1.2;    1.2;    1.3;    1.2;   0.06; -11.02; -17.90; -19.84;  37.55;  20.60;  62.75;  71.80;100;0
2435;17.07.2018;15:13:17;  -6.84;  -2.31;   2.53;FAILED;   7.03;   4.57;  17.90;  16.73;  25.73;  22.84; -15.43;    1.2;    1.2;    1.3;    1.2;   3.13;  -5.32; -10.02; -14.20;  67.00;  73.00;  50.00;  51.20;100;0
2436;18.07.2018;21:13:17;  -0.96;  -0.42;   4.09;   2.37;   7.81;   5.66;  17.61;  16.90;  25.99;  22.60; -14.80;    1.2;    1.2;    1.3;    1.2;   4.90;   0.22;  -4.12; -12.99;   0.00;  60.50;  49.75;  24.00;100;0
2437;19.07.2018;16:38:17; -11.44;  -1.76;   1.44;   2.61;   7.59;   5.44;  17.85;  17.13;  26.01;  22.52; -17.57;    1.2;    1.2;    1.3;    1.2;  -2.92;  -9.35; -15.80; -15.40;  38.00;  49.60;  50.75;   0.00;100;0
2439;19.07.2018;17:38:17; -12.25;  -2.47;   1.96; 327.67;   6.10;   0.97;  17.61;  17.54;  25.98;  22.57; -17.49;    1.2;    1.2;    1.3;    1.2;  -2.61; -10.03; -15.77; -15.54;  72.00;  25.10;  63.25;   0.00;100;0
2442;19.07.2018;18:13:17; -12.10;  -1.73;   2.28;  30.25;   5.50;   3.61;  17.69;  16.95;  26.06;  22.39; -17.33;    1.2;    1.2;    1.2;    1.2;  -2.16;  -9.91; -15.72; -15.41;  37.00;  60.50;  62.75;   0.00;100;0
2443;19.07.2018;18:18:17; -12.19;  -2.77;   0.63;  81.77;   8.83;   8.26;  17.41;  16.96;  25.93;  22.53; -17.43;    1.2;    1.2;    1.3;    1.2;  -3.04;  -9.96; -15.94; -15.41;  88.50;  61.00;  62.75;  23.30;100;0
2444;20.07.2018;13:08:17; -15.80;  -1.73;   2.50;FAILED;   7.58;   5.02;  17.22;  17.21;  26.14;  22.47; -28.07;    1.1;    1.2;    1.2;    1.2;  -2.76; -13.43; -20.22; -23.86;  36.00;  47.50;  63.25;   0.00;100;0
2445;20.07.2018;23:48:17;-31;250;   4.81;FAILED;791;575;  17.53;1561;2579;2308; -27.25;    1.2;    1.2;    1.2;    1.2;   2.23;68;  -3.66; -21.79;   0.00; 100.00;  49.75;  11.60;100;0
2446;21.07.2018;22:08:17;-1292;-169;   2.38;FAILED;580;378;  17.24;1816;2614;2248; -20.20;    1.1;    1.2;    1.2;    1.2;  -3.32;-1060; -16.63; -18.83;  34.50;   0.00;  53.10;   0.00;100;0
2448;22.07.2018;18:53:17;-1231;-245;   1.48;FAILED;604;404;  16.79;1507;2566;2294; -19.20;    1.2;    1.2;    1.2;    1.2;  -3.93;-987; -15.82; -18.03;  71.00;  76.70;  63.00;  65.00;100;0
2450;22.07.2018;19:23:17;-1111;-180;   1.26;FAILED;1220;1089;  16.50;1705;2614;2247; -19.17;    1.1;    1.2;    1.2;    1.2;  -2.34;-901; -15.47; -17.84;  39.00;  49.50;  63.00;  46.90;100;0
2451;22.07.2018;19:28:17;-1193;-171;   2.17;FAILED;580;355;  17.32;1686;2597;2264; -19.13;    1.1;    1.2;    1.2;    1.2;  -3.26;-965; -15.47; -17.83;  36.50;  63.10;  63.00;   0.00;100;0
2452;22.07.2018;19:33:17;-1195;-228;   1.25;FAILED;939;666;  17.18;1653;2564;2297; -19.14;    1.1;    1.2;    1.2;    1.2;  -4.74;-943; -15.66; -17.81;  62.50;  50.90;  63.00;  33.60;100;0
2454;22.07.2018;20:13:17;-1152;-249;   1.32;FAILED;713;444;  16.68;1713;2577;2285; -19.60;    1.2;    1.2;    1.2;    1.2;  -4.74;-915; -14.96; -17.81;  73.50;  48.50;  63.25;  53.30;100;0
2456;22.07.2018;20:28:17;-1244;-267;   0.39;FAILED;1116;782;  16.69;1723;2561;2306; -20.01;    1.1;    1.2;    1.2;    1.2;  -5.73;-1003; -16.00; -18.01;  83.50;  48.00;  51.00;   0.00;100;0
2458;22.07.2018;20:38:17;-1225;-268;   1.33;FAILED;401;163;  16.90;1666;2575;2308; -19.92;    1.2;    1.2;    1.2;    1.2;  -5.56;-989; -15.50; -18.13;  84.50;  61.00;  50.75;   0.00;100;0
2459;22.07.2018;20:58:17;-1126;-212;   1.62;FAILED;594;451;  16.33;1699;2600;2270; -19.74;    1.2;    1.2;    1.2;    1.2;  -5.05;-916; -14.54; -18.14;  57.00;  48.00;  50.75; 100.00;100;0
2460;22.07.2018;22:08:17;-1109;-259;   1.42;FAILED;416;199;  16.93;1725;2570;2312; -19.79;    1.2;    1.2;    1.2;    1.2;  -5.29;-878; -14.41; -18.01;  80.00;  48.00;  50.50;  13.00;100;0
2461;24.07.2018; 8:33:17;-1672;-201;   1.74;FAILED;715;516;  17.57;1733;2520;2263; -20.55;    1.1;    1.2;    1.2;    1.2;  -2.92;-1407; -20.96; -18.68;  32.90;  40.50;  50.00;   0.00;100;0
2462;25.07.2018;11:28:17; -13.83;  -1.95;   2.01;FAILED;   6.75;   4.65;  17.21;  17.32;  26.09;  22.64; -29.63;    1.1;    1.2;    1.2;    1.2;  -6.88; -11.74; -15.14; -25.66;  49.50;  39.95;  51.50;   0.00;100;0
2467;25.07.2018;12:23:17;  -5.50;  -1.59;   2.88;FAILED;   6.57;   4.89;  16.71;  17.23;  26.21;  22.48; -26.61;    1.1;    1.2;    1.2;    1.2;  -1.11;  -4.15;  -8.06; -23.34;  31.00;  47.50;  51.50;  62.20;100;0
2468;25.07.2018;15:28:17; -11.35;  -4.23;   2.42;FAILED;   5.54;   1.81;  17.58;  17.93;  26.02;  22.58; -27.56;    1.1;    1.2;    1.2;    1.2;  -4.74;  -9.56; -13.82; -23.11; 100.00;  11.00;  63.25;   0.00;100;0
2469;25.07.2018;19:13:17; -12.89;  -1.88;   2.75;FAILED;   7.60;   4.93;  17.31;  17.83;  26.10;  22.46; -31.17;    1.1;    1.2;    1.2;    1.2;  -2.30; -10.91; -16.39; -26.37;  28.75;   0.00;  63.00;   0.00;100;0
